address,has_script,qty_night,utxos,pct_of_supply
addr1q9hywcny8nhwwjsla726tqtl785sd8pxlr8s6a5uvh6r7huas7xgdn7lwe0sd2akhn7zxuypf84wuvfj2xlxtsl4dfmqvw6qmn,false,100000000.0,1,0.4167
addr1qy0lqw67dgf68xf049uns2ryjqr53fj7t3cysnugnvlp3kgl7qa4u6sn5wvjl2te8q5xfyq8fzn9uhrsfp8c3xe7rrvsh5q62h,false,99983888.0,1,0.4166
Ae2tdPwUPEZKnykUqXyYQxqJSnADNkm4ELUnyqZUBHcCrNJVDqozLYCt9Jv,false,91678658.72929794,595,0.382
addr1w9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwg2wungz,true,84167467.66743802,1251,0.3507
addr1q9ky025uv4encxu3vnx6ldnpyht8z0hrrty50ve07vu8cpd3yxedx52tjh7ndhmd3fpcxwn8dy8zdv6uzkgrngh3q6mqr4j3gq,false,80443125.0,1,0.3352
addr1v83pv7rsmn5d8l0v2rwvuz5hlz2pp9k2yzy255h59myv33ct9y6sm,false,76628663.75053097,63,0.3193
addr1q9xfwv50aperf38gdqlnlsha64a3v45zlu0rm5nx0mrddujvjuegl6rjxnzws6pl8lp0m4tmzetg9lc78hfxvlkx6meqzql83m,false,72000000.0,3,0.3
addr1wynz2dws5vjeqhecwg3d7v9q7frzwg8ces042a8x09l9t0g2885qf,true,70092574.50054,4,0.2921
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwgrts22z476kfgzqwjtl9yq90gxjl7dhp26kcj7nttxu7vszjvrqq,true,51154440.97240701,11,0.2131
addr1vyh8mf0wf2m7edk2pap7shzkzur7yv9cw8akhy9udqvd4dqx2y3yl,false,49057932.72122799,781,0.2044
addr1vyt65g7fzky4j2gqzf0nr0g5nk2tc4qwju6q3mlp63wcs7qgpykvh,false,43324365.0,8,0.1805
Ae2tdPwUPEYzaKLmZHmfRHdayyjBoVXDY8tbTXsGUHsWXjQPMwNXwwfv1DX,false,41053210.0,2,0.1711
addr1qyrqujcrey45njs42zdntad69ctwr6p2gaxeatjjkx27rqmkjcrka94ccq9jydy3k2wgwzevyflddry9j0mtrw24kznq6xp09e,false,37500000.0,1,0.1563
addr1qyp2apgtx3j6crj7uhq2rqshagh3v7ul3rkjn3y73ay5hxz096pdr9slwrpaqyjrtdlcpwv78wj7c64k3wjgns7yjmlqd8kaee,false,37500000.0,1,0.1563
addr1v8mn6dmk7tf9u26kr09a05lmvc9j4k9d940a88ta3hdczqgyt7whl,false,37441105.73336596,387,0.156
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkw2p92dd8cadalr5t3t4xahrtw0yxn45xppy22vztqp5gfms3xg57r,true,37156939.588623,1,0.1548
addr1qyn9ln94lxk6dx3e2y698puvqcrkw5sjs07uteca5ej7nppxtlxtt7dd56drj5f52wrccps8vafp9qlachn3mfn9axzqnq92l6,false,33126279.274703,7,0.138
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwdxnslpltlvty82ss3hp57988pfu9gut0fha3culwkn6jls0ct3g4,true,31363590.777026,50,0.1307
addr1vygz7rmeu2n59rvughy0y7ljawjprwpmswueq9zlfmcpvkg2nkp62,false,30000000.0,3,0.125
addr1qyktyw54r98lcu4qyxwtkd4d28pf78d29y8nmmml8zlrsuevkgaf2x20l3e2qgvuhvm265wznuw652g08hhh7w978pesu3jura,false,26403669.01851601,29,0.11
addr1q9n7yyj73pf6exxd3y9qhueqrhc2vqxfnh5r7hmxgfd4ljws85exgzl72xf2heewz67dgk5ddkmmt950v79y26vdqmzs69ycd6,false,24579032.5904,2,0.1024
addr1wypmdhdv6cxvr67ea4qyr5xznrzvday2kc0qflddfkg4e7scahru0,true,24000315.88138,17,0.1
addr1vx22v82ycddcw9gmmtfwnt46k0pae4rudpqz8gtmy3mnehsvj8ze6,false,21568197.04260999,145,0.0899
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwwv92ay0ry4zt3nh09cc7lgslavcga9kms8vz80qm7389ds9yum2p,true,21230045.008736,1,0.0885
addr1q8xz4wj83j239cemhjuv005g07kvywjmdcrkprhsdlgnjk7v92ay0ry4zt3nh09cc7lgslavcga9kms8vz80qm7389dsn4ns9p,false,20758291.708736,8,0.0865
addr1qx4j95zpu93q9delknf842y79rjzxacjv7sgfp0zv5jfxzdtytgyrctzq2mnldxj025fu28yydm3yeaqsjz7yefyjvys3zs8sz,false,19156939.58862,3,0.0798
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwf06qfvlhea7ul3g969gdqyjd27dwkjmnvqy2e5r7ducdxs22hptk,true,18299199.922511,1,0.0762
addr1qxhfdmwnu6twdl5gxe27zym4v9907h4s9qdw8usrafhzaa6tqsqkhyer25uq8ne6w0vakh8rau2jry0tanl54g0x3saqvhq3z2,false,17378638.46,1,0.0724
addr1v8mr4gn3ulxm3c447ufyj8ed80aryuztvpszrz9zdpte3tgw83za8,false,17352295.0,217,0.0723
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwwxl23t8tha3kpnjqvjrwcha2jx2kksttnl5xzsdwwyy90srzkjjz,true,17133324.637749,1,0.0714
addr1q9v3ffl8cr0jtumyw9p7g53w7ulyjt5a2n2utdg6uhc4tazy6jpth97w8mwcnfzyp943s2lqslxfw300c4eeqz79ys7stf64nf,false,16679646.5,1,0.0695
