root_seed_id,pool_id_bech32,latest_distinct_stake_addresses_with_current_value,current_lovelace,current_ada
cf,pool18gysxqfwz4j8rm3vlh6677vs9n23prvfr7gwe88mhn5uudgx9ng,1,211705000000,211705.000000
cf,pool1qvvn2l690zm3v2p0f3vd66ly6cfs2wjqx34zpqcx5pwsx3eprtp,3,210268545235,210268.545235
cf,pool1t6n7rysk6wzm9wqxda6zxpzmm3j6256fs3mp06dc26n6503hhj4,5,203562434669,203562.434669
cf,pool1druxd2syfrvqvepxh60fz0qhralcesruphh5atujuh0jktjy0ma,4,200886377560,200886.377560
cf,pool1pemnlylem2e94xguhd3fytj90848kpv4agvr6rthx2tp58z79ek,2,200757292118,200757.292118
cf,pool12qtv7kyrx8g0d5890alk6dkc6n6nyfx80synspvqafjrqd3ergz,1,199197665848,199197.665848
cf,pool15zrkyr0f80hxlt4scv72tej8l8zwrcphmrega9wutqchjekceal,3,198456218286,198456.218286
cf,pool1jst7rrhucnp93hepezv5yqy6fx982xs2v0udwfc5ea6my3kfak7,22,194094444209,194094.444209
cf,pool1hht4pctn70tqdsd0zwuxv8d8cz6l5scjzaquty7vamyzy78eqvc,4,191011587564,191011.587564
cf,pool1gas95lqlch5pj5e4lwg78gxlq7km9xfurfd557x4tgwk5kktd04,1,187282935534,187282.935534
cf,pool15z87p296y3m7eq8pwuu8qs6h2v4d2ctnx3yd2vqpl6txkkdvl5h,1,180696998501,180696.998501
cf,pool1rct5guwnp6nk9f4ldn5tr3s42j0nm5rxeayv56lxua5ck47ex39,2,172785430939,172785.430939
cf,pool1vafsg5t78rnx3qr3fv7ys9h50pnvxqhd4l8tj629l5zk7tc39ch,4,170264872203,170264.872203
cf,pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,4,169591369629,169591.369629
cf,pool16nz6k74zsm9x5fyh2wa0pt9cn75hfscfvqsxup0vl0vqqthwnkz,1,169495907901,169495.907901
cf,pool13annzt9hjfc822f0ejvxjf7fsmxd6cc28whpk5kagec6ggfmm7u,20,168505488718,168505.488718
cf,pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,5,168370780502,168370.780502
cf,pool1hnnfvsq3xlln6vz7d2xmk6kqekd5z4ctmfpdad8g8kr0yk8kdfd,1,165928146980,165928.146980
cf,pool1qy23q2qe64n6awyhrz0a97lk34zzcvgpk2e4vqmhjs86swwp9gn,2,163310606304,163310.606304
cf,pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s,14,162624310389,162624.310389
cf,pool1223lffkp6apdunf3prnfz5cra8fy2m2sdkazkls2wky3wdguw59,1,160000000000,160000.000000
cf,pool10kjjh9zfs77vzxpp4qpdxwvnh3x8zdf8qcv7pckvdhw02fu6unz,1,159668000524,159668.000524
cf,pool156wg3relgtlhwu55z3wpqurtaprguefe9tzrakhuqyyc60553au,2,154231707014,154231.707014
cf,pool1zytydvyy3qztrs8l2xyggvkfcjctp23m2hc3aj7sudnzgny79cg,3,151596485672,151596.485672
cf,pool1vulu80lngn7t3jf3trclavfal7h58p4ap5f849r35z6mkfvac3c,1,150209057824,150209.057824
cf,pool1s6x6kltycpxq82hyqhlqllqj3q5l2m8w499gvtu4xrfv29c0q2q,5,142144536674,142144.536674
